"gene","category"
"TraesCS7A03G0821400","Conserved"
"TraesCS2A03G1275200","Conserved"
"TraesCS2A03G1285500","Ambiguous"
"TraesCS1A03G0459500","Ambiguous"
"TraesCS2A03G0246000","Ambiguous"
"TraesCS1A03G0946200","Conserved"
"TraesCS7A03G1259000","Ambiguous"
"TraesCS4A03G0231100","Ambiguous"
"TraesCS2A03G0355400","Ambiguous"
"TraesCS3A03G0695400","Conserved"
"TraesCS7A03G0762200","Ambiguous"
"TraesCS1A03G0881300","Ambiguous"
"TraesCS1A03G0791800","Conserved"
"TraesCS3A03G1128800","Ambiguous"
"TraesCS2A03G0219600","Ambiguous"
"TraesCS1A03G1028300","Conserved"
"TraesCS1A03G0677600","Conserved"
"TraesCS7A03G0581000","Conserved"
"TraesCS4A03G0364100","Ambiguous"
"TraesCS2A03G1081100","Conserved"
"TraesCS7A03G0578700","Conserved"
"TraesCS5A03G0513900","Conserved"
"TraesCS2A03G1066600","Cis × trans"
"TraesCS2A03G0379000","Ambiguous"
"TraesCS3A03G0872300","Conserved"
"TraesCS2A03G1302200","Conserved"
"TraesCS4A03G0542300","Ambiguous"
"TraesCS4A03G0752900","Trans only"
"TraesCS1A03G1031500","Conserved"
"TraesCS5A03G0597300","Ambiguous"
"TraesCS7A03G0441600","Ambiguous"
"TraesCS1A03G0986200","Ambiguous"
"TraesCS4A03G0273500","Conserved"
"TraesCS6A03G0958300","Conserved"
"TraesCS1A03G0653600","Ambiguous"
"TraesCS1A03G0823600","Ambiguous"
"TraesCS5A03G0890700","Ambiguous"
"TraesCS1A03G0682500","Conserved"
"TraesCS4A03G0627200","Ambiguous"
"TraesCS1A03G0494500","Ambiguous"
"TraesCS1A03G0592000","Ambiguous"
"TraesCS6A03G0063600","Ambiguous"
"TraesCS2A03G1245900","Cis × trans"
"TraesCS2A03G0818700","Conserved"
"TraesCS5A03G0589700","Conserved"
"TraesCS7A03G1005400","Ambiguous"
"TraesCS2A03G0999000","Ambiguous"
"TraesCS5A03G0905000","Ambiguous"
"TraesCS2A03G0827800","Conserved"
"TraesCS5A03G0922900","Conserved"
"TraesCS5A03G0487100","Conserved"
"TraesCS4A03G0500900","Conserved"
"TraesCS2A03G0934600","Ambiguous"
"TraesCS3A03G0885700","Ambiguous"
"TraesCS1A03G0474600","Ambiguous"
"TraesCS2A03G0256700","Trans only"
"TraesCS1A03G0588700","Conserved"
"TraesCS7A03G0982800","Conserved"
"TraesCS3A03G0763900","Conserved"
"TraesCS1A03G0554000","Ambiguous"
"TraesCS5A03G0180500","Ambiguous"
"TraesCS2A03G0775000","Ambiguous"
"TraesCS5A03G0784200","Ambiguous"
"TraesCS7A03G0401100","Conserved"
"TraesCS7A03G0785000","Conserved"
"TraesCS1A03G0452600","Ambiguous"
"TraesCS4A03G0117800","Conserved"
"TraesCS4A03G0462400","Compensatory"
